,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
4023,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,2/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4026,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0389,2/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4027,30.30338848,-97.88887425,Conductivity (uS/cm),1015,2/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4028,30.30338848,-97.88887425,Water temperature (Deg. Celsius),20,2/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4029,30.30338848,-97.88887425,pH (Standard units),6.81,2/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4030,30.30338848,-97.88887425,Turbidity (NTU),0.49,2/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4087,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4088,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4093,30.30338848,-97.88887425,Flow (Cubic feet per second),0.135,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4094,30.30338848,-97.88887425,Flow (Cubic feet per second),0.135,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4095,30.30338848,-97.88887425,Conductivity (uS/cm),1157,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4096,30.30338848,-97.88887425,Conductivity (uS/cm),1159,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4097,30.30338848,-97.88887425,Water temperature (Deg. Celsius),19.3,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4098,30.30338848,-97.88887425,Water temperature (Deg. Celsius),19.4,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4099,30.30338848,-97.88887425,pH (Standard units),6.44,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4100,30.30338848,-97.88887425,pH (Standard units),6.44,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4101,30.30338848,-97.88887425,Turbidity (NTU),0.21,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4102,30.30338848,-97.88887425,Turbidity (NTU),0.31,3/15/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4135,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,4/11/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4138,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0938,4/11/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
